State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Male_Workers,Female_Workers,Hindus,Muslims,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,sex_ration,lieracy_rate,sex_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,5512,45202,8338,748939,574728,2399901,275970,1066460,257207,1417572,363737,484912,84661,390357,100.0,54.0,100.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,8606,48299,9915,1208544,827622,3599372,443456,1679655,356511,2044982,413253,879537,105343,638033,98.0,57.0,98.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,13763,67087,16296,1202223,731134,3737588,397870,1669852,263505,2240707,434544,748093,57269,693451,100.0,64.0,100.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,93784,25381,1545831,547850,4983330,77777,1748117,345564,3060615,160407,1122046,57853,753375,101.0,64.0,101.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,80434,17424,1442370,939254,4217597,559770,2106326,275298,2506189,302341,1227956,47436,803891,100.0,61.0,100.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,149034,274653,124106,1045585,367712,2046051,1713405,1096081,317216,2530026,28308,23029,46157,1315803,95.0,73.0,95.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,8831,46584,14175,1049463,827305,3491139,244723,1590304,286464,1899501,360390,756859,168340,591179,101.0,58.0,101.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,8628,42171,11887,802906,607156,2595321,158887,1215871,194191,1387308,224972,804537,19799,360754,101.0,58.0,101.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,101450,27969,1327299,721581,4023678,307043,1744978,303902,2468518,150166,1006976,48444,843294,99.0,67.0,99.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,56478,10622,1164122,865303,3328380,670737,1757520,271905,2024038,310954,1037302,60791,620378,99.0,52.0,99.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,6153,60812,12615,1140067,942434,3673456,334172,1815643,266858,1970527,569142,931084,57846,524429,98.0,48.0,98.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,8635,47170,14362,837874,604329,2637313,342449,1195494,246709,1591085,353221,571129,67642,450211,99.0,54.0,99.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,7715,53777,18927,976428,765265,3249231,188646,1493419,248274,1747116,325224,863131,45124,508214,98.0,57.0,98.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,5261,35036,10088,684320,576756,2123426,391596,1055965,205111,1290259,278102,448281,171311,363382,104.0,54.0,104.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,6151,43611,9071,991842,708725,3150195,220654,1463508,237059,1696881,280029,889218,42603,488717,98.0,56.0,98.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,3988,32280,5264,766483,523805,2666950,9025,936244,354044,1412826,165317,700833,34479,389659,101.0,55.0,101.0
